time = 88600202, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    79
time = 89681022, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    80
time = 90761842, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    81
time = 91842662, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    82
time = 92923482, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    83
time = 94004302, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    84
time = 95085122, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    85
time = 96165942, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    86
time = 97246762, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    87
time = 98327582, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    88
time = 99408402, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    89
time = 100489222, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    90
time = 101570042, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    91
time = 102650862, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    92
time = 103731682, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    93
time = 104812502, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    94
time = 105893322, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    95
time = 106974142, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    96
time = 108054962, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    97
time = 109135782, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    98
time = 110216602, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    99
time = 111297422, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   100
time = 112378242, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   101
time = 113459062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   102
time = 114539882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   103
time = 115620702, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   104
time = 116701522, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   105
time = 117782342, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   106
time = 118863162, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   107
time = 119943982, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   108
time = 121024802, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   109
time = 122105622, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   110
time = 123186442, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   111
time = 124267262, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   112
time = 125348082, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   113
time = 126428902, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   114
time = 127509722, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   115
time = 128590542, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   116
time = 129671362, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   117
time = 130752182, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   118
time = 131833002, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   119
time = 132913822, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   120
time = 133994642, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   121
time = 135075462, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   122
time = 136156282, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   123
time = 137237102, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   124
time = 138317922, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   125
time = 139398742, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   126
time = 140479562, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   127
time = 141560382, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   128
time = 142641202, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   129
time = 143722022, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   130
time = 144802842, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   131
time = 145883662, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   132
time = 146964482, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   133
time = 148045302, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   134
time = 149126122, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   135
time = 150206942, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   136
time = 151287762, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   137
time = 152368582, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   138
