time =    31402, E0:  en = 0, step = 1, dir = 0, delta = 236323, e0 =     1
time =  4757842, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     2
time =  5731962, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     3
time =  6706082, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     4
time =  7680202, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     5
time =  8654322, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     6
time =  9628442, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     7
time = 10602562, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     8
time = 11576682, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =     9
time = 12550802, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    10
time = 13524922, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    11
time = 14499042, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    12
time = 15473162, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    13
time = 16447282, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    14
time = 17421402, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    15
time = 18395522, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    16
time = 19369642, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    17
time = 20343762, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    18
time = 21317882, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    19
time = 22292002, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    20
time = 23266122, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    21
time = 24240242, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    22
time = 25214362, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    23
time = 26188482, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    24
time = 27162602, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    25
time = 28136722, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    26
time = 29110842, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    27
time = 30084962, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    28
