time = 83832462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    83
time = 84440962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    84
time = 85049462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    85
time = 85657962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    86
time = 86266462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    87
time = 86874962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    88
time = 87483462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    89
time = 88091962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    90
time = 88700462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    91
time = 89308962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    92
time = 89917462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    93
time = 90525962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    94
time = 91134462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    95
time = 91742962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    96
time = 92351462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    97
time = 92959962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    98
time = 93568462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =    99
time = 94176962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   100
time = 94785462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   101
time = 95393962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   102
time = 96002462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   103
time = 96610962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   104
time = 97219462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   105
time = 97827962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   106
time = 98436462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   107
time = 99044962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   108
time = 99653462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   109
time = 100261962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   110
time = 100870462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   111
time = 101478962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   112
time = 102087462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   113
time = 102695962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   114
time = 103304462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   115
time = 103912962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   116
time = 104521462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   117
time = 105129962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   118
time = 105738462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   119
time = 106346962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   120
time = 106955462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   121
time = 107563962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   122
