time = 109784702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    79
time = 110758822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    80
time = 111732942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    81
time = 112707062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    82
time = 113681182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    83
time = 114655302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    84
time = 115629422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    85
time = 116603542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    86
time = 117577662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    87
time = 118551782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    88
time = 119525902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    89
time = 120500022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    90
time = 121474142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    91
time = 122448262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    92
time = 123422382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    93
time = 124396502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    94
time = 125370622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    95
time = 126344742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    96
time = 127318862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    97
time = 128292982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    98
time = 129267102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =    99
time = 130241222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   100
time = 131215342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   101
time = 132189462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   102
time = 133163582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   103
time = 134137702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   104
time = 135111822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   105
