time = 50565782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    85
time = 50768982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    86
time = 50972182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    87
time = 51175382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    88
time = 51378582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    89
time = 51581782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    90
time = 51784982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    91
time = 51988182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    92
time = 52191382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    93
time = 52394582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    94
time = 52597782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    95
time = 52800982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    96
time = 53004182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    97
time = 53207382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    98
time = 53410582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =    99
time = 53613782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   100
time = 53816982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   101
time = 54020182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   102
time = 54223382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   103
time = 54426582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   104
time = 54629782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   105
time = 54832982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   106
time = 55036182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   107
time = 55239382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   108
time = 55442582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   109
time = 55645782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   110
time = 55848982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   111
time = 56052182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   112
time = 56255382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   113
time = 56458582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   114
time = 56661782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   115
time = 56864982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   116
time = 57068182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   117
time = 57271382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   118
time = 57474582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   119
time = 57677782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   120
time = 57880982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   121
time = 58084182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   122
time = 58287382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   123
time = 58490582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   124
time = 58693782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   125
time = 58896982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   126
time = 59100182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   127
time = 59303382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   128
time = 59506582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   129
time = 59709782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   130
time = 59912982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   131
time = 60116182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   132
time = 60319382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   133
time = 60522582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   134
time = 60725782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   135
time = 60928982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   136
time = 61132182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   137
time = 61335382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   138
time = 61538582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   139
time = 61741782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   140
time = 61944982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   141
time = 62148182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   142
time = 62351382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   143
time = 62554582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   144
time = 62757782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   145
time = 62960982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   146
time = 63164182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   147
time = 63367382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   148
time = 63570582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   149
time = 63773782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   150
time = 63976982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   151
time = 64180182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   152
time = 64383382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   153
time = 64586582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   154
time = 64789782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   155
time = 64992982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   156
time = 65196182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   157
time = 65399382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   158
time = 65602582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   159
time = 65805782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   160
time = 66008982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   161
time = 66212182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   162
time = 66415382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   163
time = 66618582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   164
time = 66821782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   165
time = 67024982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   166
time = 67228182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   167
time = 67431382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   168
time = 67634582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   169
time = 67837782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   170
time = 68040982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   171
time = 68244182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   172
time = 68447382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   173
time = 68650582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   174
time = 68853782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   175
time = 69056982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   176
time = 69260182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   177
time = 69463382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   178
time = 69666582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   179
time = 69869782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   180
time = 70072982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   181
time = 70276182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   182
time = 70479382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   183
time = 70682582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   184
time = 70885782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   185
time = 71088982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   186
time = 71292182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   187
time = 71495382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   188
time = 71698582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   189
time = 71901782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   190
time = 72104982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   191
time = 72308182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   192
time = 72511382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   193
time = 72714582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   194
time = 72917782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   195
time = 73120982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   196
time = 73324182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   197
time = 73527382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   198
time = 73730582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   199
time = 73933782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   200
time = 74136982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   201
time = 74340182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   202
time = 74543382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   203
time = 74746582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   204
time = 74949782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   205
time = 75152982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   206
time = 75356182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   207
time = 75559382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   208
time = 75762582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   209
time = 75965782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   210
time = 76168982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   211
time = 76372182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   212
time = 76575382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   213
