time =    31402, E1:  en = 0, step = 1, dir = 0, delta = 267284, e1 =     1
time =  5377062, E1:  en = 0, step = 1, dir = 0, delta = 253068, e1 =     2
time = 10438422, E1:  en = 0, step = 1, dir = 0, delta = 238852, e1 =     3
time = 15215462, E1:  en = 0, step = 1, dir = 0, delta = 224636, e1 =     4
time = 19708182, E1:  en = 0, step = 1, dir = 0, delta = 210420, e1 =     5
time = 23916582, E1:  en = 0, step = 1, dir = 0, delta = 196204, e1 =     6
time = 27840662, E1:  en = 0, step = 1, dir = 0, delta = 181988, e1 =     7
time = 31480422, E1:  en = 0, step = 1, dir = 0, delta = 167772, e1 =     8
time = 34835862, E1:  en = 0, step = 1, dir = 0, delta = 153556, e1 =     9
time = 37906982, E1:  en = 0, step = 1, dir = 0, delta = 139340, e1 =    10
time = 40693782, E1:  en = 0, step = 1, dir = 0, delta = 125124, e1 =    11
time = 43196262, E1:  en = 0, step = 1, dir = 0, delta = 110908, e1 =    12
time = 45414422, E1:  en = 0, step = 1, dir = 0, delta =  96692, e1 =    13
time = 47348262, E1:  en = 0, step = 1, dir = 0, delta =  82476, e1 =    14
time = 48997782, E1:  en = 0, step = 1, dir = 0, delta =  68260, e1 =    15
time = 50362982, E1:  en = 0, step = 1, dir = 0, delta =  54044, e1 =    16
time = 51443862, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    17
time = 52524682, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    18
time = 53605502, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    19
time = 54686322, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    20
time = 55767142, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    21
time = 56847962, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    22
time = 57928782, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    23
time = 59009602, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    24
time = 60090422, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    25
time = 61171242, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    26
time = 62252062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    27
time = 63332882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =    28
